C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
CN1:1
CN2:1
D1:1
D2:1
KAL1:1
KAL2:1
KAL3:1
KAL4:1
KAL5:1
KAL6:1
L1:1
LED1:1
LED10:1
LED11:1
LED12:1
LED13:1
LED14:1
LED15:1
LED16:1
LED17:1
LED18:1
LED19:1
LED2:1
LED20:1
LED21:1
LED22:1
LED23:1
LED24:1
LED25:1
LED26:1
LED27:1
LED28:1
LED29:1
LED3:1
LED30:1
LED31:1
LED32:1
LED33:1
LED34:1
LED35:1
LED36:1
LED37:1
LED38:1
LED39:1
LED4:1
LED40:1
LED41:1
LED42:1
LED43:1
LED44:1
LED45:1
LED46:1
LED47:1
LED5:1
LED6:1
LED7:1
LED8:1
LED9:1
R1:1
R2:1
R3:1
R4:1
R5:1
REF**:16
S1:1
S2:1
S3:1
S4:1
S5:1
SW1:1
U1:1
U2:1
U3:1
U4:1
U5:1
USB1:1
X1:1
